"Data Source","World Development Indicators",

"Last Updated Date","2020-10-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.7","","","","","6.3","","","","","5.1","","","","","4.8","4.7","","","","",
"Angola","AGO","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.9","","","","","7.2","","","","","5.7","","","","","5","4.7","","","","",
"Albania","ALB","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.5","","","","","6.7","","","","","7.8","","","","","6","6.3","","","","",
"Andorra","AND","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.32612451050338","","","","","4.30855385231312","","","","","4.20444242654213","","","","","4.20620092747724","4.2719116150766","","","","",
"United Arab Emirates","ARE","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.2","","","","","3.1","","","","","3","","","","","2.8","2.8","","","","",
"Argentina","ARG","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.5","","","","","9","","","","","8.7","","","","","8.8","9.2","","","","",
"Armenia","ARM","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.3","","","","","4.4","","","","","6","","","","","7","6.6","","","","",
"American Samoa","ASM","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","1.2","","","","","0.3","","","","","0.8","0.5","","","","",
"Australia","AUS","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.2","","","","","12.3","","","","","12.5","","","","","13.8","13.2","","","","",
"Austria","AUT","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","","","","","17.3","","","","","16","","","","","16","15.6","","","","",
"Azerbaijan","AZE","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.2","","","","","3.2","","","","","3.1","","","","","2.7","2.6","","","","",
"Burundi","BDI","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.1","","","","","8.4","","","","","9","","","","","8.9","9.1","","","","",
"Belgium","BEL","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.7","","","","","21.2","","","","","21.3","","","","","20.1","20.7","","","","",
"Benin","BEN","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.5","","","","","9.7","","","","","9.6","","","","","9.9","9.9","","","","",
"Burkina Faso","BFA","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.2","","","","","7.6","","","","","7.5","","","","","7.7","7.7","","","","",
"Bangladesh","BGD","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.7","","","","","6.3","","","","","6.4","","","","","6.1","5.9","","","","",
"Bulgaria","BGR","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.5","","","","","13.4","","","","","12.5","","","","","11.4","11.5","","","","",
"Bahrain","BHR","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.7","","","","","7","","","","","5.2","","","","","5.9","5.9","","","","",
"Bahamas, The","BHS","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","2.2","","","","","2","","","","","1.8","1.7","","","","",
"Bosnia and Herzegovina","BIH","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.7","","","","","9.3","","","","","8","","","","","8.9","8.8","","","","",
"Belarus","BLR","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.1","","","","","45.1","","","","","38.2","","","","","26.3","26.2","","","","",
"Belize","BLZ","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.5","","","","","4.9","","","","","4.9","","","","","4.8","4.7","","","","",
"Bermuda","BMU","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.4","","","","","15.3","","","","","14.1","","","","","12.4","12.2","","","","",
"Brazil","BRA","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.8","","","","","5.5","","","","","5.7","","","","","6.5","6.5","","","","",
"Barbados","BRB","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.1","","","","","3.7","","","","","2.1","","","","","0.7","0.8","","","","",
"Brunei Darussalam","BRN","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.8","","","","","3.3","","","","","3.7","","","","","4.5","4.6","","","","",
"Bhutan","BTN","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.4","","","","","12.2","","","","","11.1","","","","","11.6","11.4","","","","",
"Botswana","BWA","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.8","","","","","12.6","","","","","11.1","","","","","9.7","9.3","","","","",
"Central African Republic","CAF","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.8","","","","","8.8","","","","","9.5","","","","","8.1","7.7","","","","",
"Canada","CAN","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","13.2","","","","","13","","","","","12.5","12.5","","","","",
"Central Europe and the Baltics","CEB","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.7160613024379","","","","","18.2381117622446","","","","","18.0954610885635","","","","","15.5787845308009","15.1573109440119","","","","",
"Switzerland","CHE","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.8","","","","","20.8","","","","","16.2","","","","","17.1","17.2","","","","",
"Channel Islands","CHI","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.9","","","","","10.6","","","","","12.2","","","","","10.9","10.6","","","","",
"China","CHN","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.2","","","","","11.7","","","","","10.9","","","","","9.6","9.7","","","","",
"Cote d'Ivoire","CIV","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.5","","","","","11.2","","","","","12.7","","","","","14.4","14.5","","","","",
"Cameroon","CMR","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.3","","","","","11.9","","","","","11.7","","","","","12.3","12.2","","","","",
"Congo, Dem. Rep.","COD","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.6","","","","","6.1","","","","","5.5","","","","","5.6","5.7","","","","",
"Congo, Rep.","COG","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","9.1","","","","","7.4","","","","","6.1","5.9","","","","",
"Colombia","COL","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.6","","","","","6.7","","","","","7.2","","","","","8.3","7.2","","","","",
"Comoros","COM","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.1","","","","","6.5","","","","","6.6","","","","","6.8","6.8","","","","",
"Cabo Verde","CPV","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.4","","","","","10.1","","","","","11.1","","","","","11","11.3","","","","",
"Costa Rica","CRI","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.3","","","","","7.9","","","","","8.6","","","","","7.9","7.9","","","","",
"Caribbean small states","CSS","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.07578579887593","","","","","8.70435801041195","","","","","9.29099450017743","","","","","9.1326955900046","9.10047459901092","","","","",
"Cuba","CUB","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.4","","","","","13","","","","","14.4","","","","","13.7","13.9","","","","",
"Curacao","CUW","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.2","","","","","2.6","","","","","5.7","","","","","4.9","5.3","","","","",
"Czech Republic","CZE","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","","","","","16.5","","","","","15.4","","","","","13.7","13.1","","","","",
"Germany","DEU","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.7","","","","","13.6","","","","","13.7","","","","","13.8","13.6","","","","",
"Djibouti","DJI","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.8","","","","","5.9","","","","","5.2","","","","","6.4","6.7","","","","",
"Dominica","DMA","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","","","","","16.2","","","","","12.7","","","","","11.9","12.8","","","","",
"Dominican Republic","DOM","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.1","","","","","8.2","","","","","8","","","","","9.7","9.9","","","","",
"Algeria","DZA","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.1","","","","","3.8","","","","","3.3","","","","","3.2","3.2","","","","",
"East Asia & Pacific (excluding high income)","EAP","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.1011149924088","","","","","9.88715798453879","","","","","9.34941710088089","","","","","8.40797296476341","8.469040070272","","","","",
"Early-demographic dividend","EAR","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.8919415879394","","","","","10.9052561830624","","","","","10.2221368985042","","","","","10.0658836484963","9.93717021583917","","","","",
"East Asia & Pacific","EAS","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.0668388947108","","","","","11.2209845724383","","","","","10.8390594935478","","","","","9.54517479546125","9.50860320735565","","","","",
"Europe & Central Asia (excluding high income)","ECA","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.8803654224353","","","","","30.6219148764534","","","","","24.3630590612874","","","","","19.6932939385874","19.0317172989938","","","","",
"Europe & Central Asia","ECS","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.9875540754547","","","","","20.8671382175922","","","","","17.9996766467295","","","","","15.7927821819888","15.498859238676","","","","",
"Ecuador","ECU","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.1","","","","","8.9","","","","","8.5","","","","","9.6","7.1","","","","",
"Egypt, Arab Rep.","EGY","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.3","","","","","3.4","","","","","3.6","","","","","3.8","4","","","","",
"Euro area","EMU","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.4785006402104","","","","","13.4425908632571","","","","","13.068937399499","","","","","12.9222553334521","12.9531340523849","","","","",
"Eritrea","ERI","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.6","","","","","10.4","","","","","9","","","","","8.1","7.9","","","","",
"Spain","ESP","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.6","","","","","8.1","","","","","7","","","","","8.1","8.7","","","","",
"Estonia","EST","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.5","","","","","22.5","","","","","18.3","","","","","15.8","17.8","","","","",
"Ethiopia","ETH","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","","","","7.9","","","","","7.3","","","","","7.2","7.2","","","","",
"European Union","EUU","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.3059231848469","","","","","14.3099025795488","","","","","14.0233921078482","","","","","13.3607327900874","13.3050095180175","","","","",
"Fragile and conflict affected situations","FCS","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.77172230839124","","","","","7.46955113697277","","","","","7.24547707028083","","","","","7.13586714469709","7.13475304709226","","","","",
"Finland","FIN","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.6","","","","","20.4","","","","","18.9","","","","","14.4","15.9","","","","",
"Fiji","FJI","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.3","","","","","3.5","","","","","4.8","","","","","5","5","","","","",
"France","FRA","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.3","","","","","21.1","","","","","20.2","","","","","18","17.7","","","","",
"Faroe Islands","FRO","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.8","","","","","11.9","","","","","11.1","","","","","11.4","11.1","","","","",
"Gabon","GAB","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.7","","","","","6.1","","","","","6.9","","","","","7.3","7.1","","","","",
"United Kingdom","GBR","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.1","","","","","8.2","","","","","7.8","","","","","8.7","8.9","","","","",
"Georgia","GEO","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","5","","","","","6.9","","","","","8.1","8.2","","","","",
"Ghana","GHA","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","4.3","","","","","4.7","","","","","5.3","5.4","","","","",
"Gibraltar","GIB","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.3","","","","","6.8","","","","","6.6","","","","","6.4","6.3","","","","",
"Gambia, The","GMB","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.6","","","","","5.7","","","","","5.1","","","","","5.2","5.1","","","","",
"Guinea-Bissau","GNB","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","4.4","","","","","4.2","","","","","3.9","4","","","","",
"Equatorial Guinea","GNQ","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.5","","","","","13.7","","","","","16.7","","","","","16.5","16.4","","","","",
